AKSI,2023-01-17,290,292,274,284,865700
ADMR,2023-01-17,1690,1700,1670,1675,23567100
AGII,2023-01-17,1915,1960,1895,1925,7590900
AGRO,2023-01-17,370,380,370,376,38082200
ACST,2023-01-17,149,150,147,148,1322300
ADHI,2023-01-17,432,436,428,432,6215200
AGRS,2023-01-17,91,91,89,91,2480000
AMFG,2023-01-17,5375,5500,5375,5450,6000
ALTO,2023-01-17,50,50,50,50,296100
AMAR,2023-01-17,238,250,228,234,36533500
ANTM,2023-01-17,2200,2290,2180,2270,242583000
APLN,2023-01-17,145,145,140,142,6868100
ASRI,2023-01-17,155,158,155,156,3153300
ARTO,2023-01-17,3080,3170,3010,3050,21428000
ASLC,2023-01-17,84,94,81,91,68753700
AUTO,2023-01-17,1400,1415,1390,1390,865300
BALI,2023-01-17,795,810,780,785,9800
ASJT,2023-01-17,121,129,118,118,101100
BACA,2023-01-17,130,131,129,130,5146800
BBCA,2023-01-17,8175,8375,8150,8325,88695900
BBHI,2023-01-17,1680,1705,1650,1690,531800
BBKP,2023-01-17,121,121,117,118,125206000
BBYB,2023-01-17,690,710,680,680,21155500
BEBS,2023-01-17,635,635,635,635,70308400
BGTG,2023-01-17,86,88,85,87,3579900
BEEF,2023-01-17,60,60,58,59,368000
BCIP,2023-01-17,71,71,68,69,7049700
BIKA,2023-01-17,84,91,84,90,1000
BCAP,2023-01-17,64,70,64,68,25742200
BINA,2023-01-17,3900,3900,3890,3900,74600
BINO,2023-01-17,130,130,128,128,2086200
BIRD,2023-01-17,1410,1425,1400,1405,1069800
BJBR,2023-01-17,1355,1355,1340,1340,3157900
BKDP,2023-01-17,76,78,74,74,2698400
BKSW,2023-01-17,97,97,94,95,949600
BMTR,2023-01-17,270,272,268,268,15040600
BNBA,2023-01-17,860,890,850,890,331100
BNII,2023-01-17,230,232,226,232,1432300
BNBR,2023-01-17,68,73,68,69,93600200
BOLA,2023-01-17,218,220,214,214,536700
BOSS,2023-01-17,91,96,89,93,78869400
BRIS,2023-01-17,1335,1380,1330,1350,22158500
BRMS,2023-01-17,188,195,180,180,1660720000
